Id,PROPN,CCONJ,VERB,NOUN,ADP,DET,PUNCT,SPACE,Tag
1-FAKE,26.0,13.0,39.0,26.0,13.0,26.0,26.0,,FAKE
1-REAL,39.0,,13.0,91.0,78.0,39.0,65.0,,REAL
10-FAKE,,,,,,,13.0,,FAKE
10-REAL,,,,,,,,,REAL
2-FAKE,,,39.0,78.0,65.0,65.0,39.0,,FAKE
2-REAL,,,26.0,26.0,13.0,13.0,13.0,,REAL
3-FAKE,26.0,,26.0,26.0,26.0,13.0,39.0,,FAKE
3-REAL,26.0,13.0,13.0,39.0,26.0,26.0,52.0,,REAL
4-FAKE,,,13.0,13.0,,13.0,13.0,,FAKE
4-REAL,26.0,,39.0,26.0,13.0,13.0,26.0,,REAL
5-FAKE,26.0,,52.0,13.0,26.0,13.0,13.0,,FAKE
5-REAL,,13.0,39.0,,,,26.0,,REAL
6-FAKE,,,,,,,,13.0,FAKE
6-REAL,,,30.0,,,,,,REAL
7-FAKE,40.0,,20.0,60.0,50.0,20.0,10.0,10.0,FAKE
7-REAL,30.0,,20.0,30.0,20.0,20.0,30.0,,REAL
8-FAKE,,,20.0,70.0,50.0,30.0,20.0,,FAKE
8-REAL,,,,,,,,10.0,REAL
9-FAKE,,,,,,,10.0,,FAKE
9-REAL,30.0,,30.0,90.0,60.0,80.0,40.0,,REAL
,,,,,,,,10.0,
,10.0,20.0,80.0,140.0,90.0,60.0,70.0,,
,,,,,,,,10.0,
,60.0,12.0,24.0,36.0,36.0,12.0,24.0,,
,36.0,24.0,96.0,108.0,60.0,48.0,12.0,12.0,
,,12.0,24.0,72.0,48.0,48.0,48.0,12.0,
,12.0,,48.0,48.0,48.0,,24.0,,
,24.0,12.0,48.0,36.0,48.0,12.0,36.0,12.0,
,24.0,24.0,48.0,24.0,12.0,12.0,36.0,,
,12.0,,36.0,60.0,36.0,24.0,24.0,,
,,12.0,60.0,84.0,36.0,24.0,36.0,12.0,
,60.0,12.0,60.0,96.0,72.0,48.0,24.0,,
,,,12.0,12.0,12.0,,12.0,12.0,
,24.0,,72.0,12.0,,12.0,36.0,,
,,,,,,,,12.0,
,34.0,,17.0,34.0,17.0,17.0,17.0,,
,17.0,,,17.0,17.0,17.0,17.0,,
,17.0,,17.0,68.0,51.0,34.0,17.0,,
,51.0,17.0,17.0,85.0,51.0,34.0,68.0,,
,102.0,34.0,68.0,153.0,136.0,85.0,238.0,,
,51.0,17.0,85.0,238.0,170.0,153.0,102.0,,
,17.0,,51.0,119.0,85.0,51.0,68.0,,
,17.0,17.0,,,,,34.0,,
,,,17.0,17.0,,17.0,17.0,,
,,,,,,17.0,34.0,,
,,,,51.0,34.0,17.0,17.0,,
,,,17.0,51.0,17.0,17.0,17.0,,
,17.0,,,,,,17.0,,
,68.0,,34.0,170.0,85.0,102.0,153.0,,
,,17.0,34.0,51.0,34.0,17.0,51.0,,
,,,34.0,34.0,17.0,51.0,17.0,,
,,,17.0,,17.0,17.0,,17.0,
,28.0,,56.0,28.0,42.0,,14.0,,
,112.0,,56.0,168.0,126.0,70.0,112.0,,
,28.0,,28.0,70.0,42.0,42.0,28.0,,
,42.0,,70.0,70.0,56.0,56.0,42.0,,
,,,56.0,28.0,,28.0,14.0,,
,,,42.0,56.0,42.0,42.0,14.0,,
,28.0,,14.0,14.0,,,28.0,,
,14.0,,56.0,56.0,42.0,28.0,42.0,,
,,,14.0,,28.0,,14.0,,
,56.0,14.0,126.0,84.0,56.0,42.0,84.0,,
,,,28.0,28.0,,28.0,28.0,,
,,14.0,28.0,112.0,70.0,70.0,28.0,,
,,,42.0,56.0,14.0,28.0,14.0,,
,,14.0,14.0,42.0,56.0,28.0,28.0,14.0,
,120.0,,96.0,192.0,240.0,72.0,120.0,,
,,24.0,24.0,120.0,72.0,24.0,24.0,,
,,,72.0,96.0,24.0,48.0,48.0,24.0,
,,,96.0,48.0,,48.0,96.0,,
,,,24.0,120.0,72.0,24.0,120.0,,
,,,24.0,24.0,,24.0,48.0,,
,,,,,,,,24.0,
,24.0,,72.0,120.0,120.0,24.0,72.0,,
,,,,,,,24.0,,
,,24.0,120.0,120.0,72.0,48.0,72.0,,
,,,48.0,72.0,24.0,24.0,120.0,,
,24.0,24.0,48.0,24.0,24.0,48.0,72.0,,
,24.0,,120.0,72.0,24.0,48.0,24.0,24.0,
,,,24.0,120.0,96.0,48.0,48.0,,
,,,,,,,24.0,,
,24.0,,96.0,72.0,48.0,48.0,96.0,,
,24.0,,,48.0,24.0,48.0,48.0,,
,,,,,,,,24.0,
,,,48.0,96.0,72.0,48.0,96.0,,
,24.0,,48.0,48.0,24.0,48.0,72.0,,
,24.0,,72.0,24.0,48.0,,48.0,,
,,,72.0,24.0,24.0,,24.0,,
,,24.0,48.0,48.0,,48.0,48.0,,
,,,,,,,,24.0,
,36.0,12.0,36.0,36.0,24.0,12.0,24.0,,
,84.0,,84.0,84.0,60.0,48.0,96.0,,
,,,12.0,,12.0,,12.0,,
,60.0,12.0,24.0,36.0,36.0,12.0,48.0,,
